,Unnamed: 0,player,nationality,team,position,birth_year,games,games_starts,minutes,goals,assists,cards_yellow,cards_red,xg,xg_assist,progressive_carries_x,progressive_passes_x,progressive_passes_received_x,goals_per90,assists_per90,xg_per90,xg_assist_per90,gk_goals_against_per90,gk_save_pct,gk_clean_sheets_pct,gk_pens_save_pct,shots_on_target_pct,shots_on_target_per90,goals_per_shot,average_shot_distance,passes_completed,passes_pct,passes_total_distance,passes_pct_short,passes_pct_medium,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes_y,sca,sca_per90,gca,gca_per90,tackles,tackles_won,challenges,challenges_lost,blocks,blocked_shots,blocked_passes,interceptions,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,take_ons,take_ons_won,take_ons_tackled,carries,carries_progressive_distance,progressive_carries_y,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received_y,fouls,fouled,offsides,crosses,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,price,skill,pot,predicted_price
116,116,James Garner,14,7,8,24,18,14,1324.0,0,1,3,0,0.3,1.3,12,46,22,0.0,0.07,0.02,0.09,,,,,28.6,0.14,0.0,24.1,504,75.0,8821,85.2,83.5,46.5,12,50,6,3,46,33,2.24,5,0.34,41,27,35,16,15,3,12,17,819,36,196,417,213,9,16,6,10,399,684,12,15,1,12,7,451,22,18,14,0,52,64,10,8,55.6,23200000.0,74.9,80.4,30738062.763590015
117,117,James Justin,14,10,0,27,33,31,2669.0,2,1,5,0,1.5,0.6,39,87,92,0.07,0.03,0.05,0.02,,,,,25.0,0.2,0.08,16.0,1093,77.8,16878,86.8,84.3,34.9,13,74,21,7,87,31,1.05,1,0.03,49,29,51,23,41,14,27,44,1775,134,616,804,365,37,30,9,13,797,1672,39,25,4,31,13,989,92,23,37,2,53,79,61,48,56.0,17000000.0,67.9,70.6,17712777.777777776
118,118,James Maddison,14,17,7,29,31,21,1809.0,9,7,6,0,5.8,4.2,45,164,95,0.45,0.35,0.29,0.21,,,,,43.6,0.85,0.23,16.7,1021,81.3,16664,90.9,86.2,46.3,41,123,32,5,164,95,4.73,18,0.9,31,19,29,20,15,4,11,12,1464,26,210,691,576,77,77,33,34,1026,2279,45,39,20,23,25,1125,95,32,64,4,98,76,5,7,41.7,58100000.0,81.2,81.2,54349432.23947551
119,119,James Tarkowski,14,7,0,33,33,33,2922.0,1,1,6,0,1.3,2.9,9,75,3,0.03,0.03,0.04,0.09,,,,,26.7,0.12,0.07,8.4,1045,81.0,22119,84.5,91.9,62.7,16,83,11,0,75,38,1.17,4,0.12,64,40,39,15,57,42,15,41,1706,355,974,635,106,57,7,5,2,727,1943,9,10,0,13,7,927,3,35,28,2,1,98,102,33,75.6,11800000.0,74.9,74.9,15204520.634920634
120,120,Jamie Vardy,14,10,3,38,33,33,2655.0,8,3,5,0,10.7,2.9,27,20,110,0.27,0.1,0.36,0.1,,,,,42.3,0.75,0.13,12.4,243,66.8,3497,74.0,77.7,68.4,18,10,9,1,20,44,1.49,9,0.3,18,13,13,9,8,4,4,5,555,29,57,255,248,105,21,9,10,264,645,27,11,14,34,12,356,110,22,21,25,11,35,49,51,49.0,1000000.0,67.3,69.5,3902654.365079366
121,121,Jan Bednarek,34,16,0,29,29,29,2441.0,2,0,7,0,0.7,0.5,5,59,2,0.07,0.0,0.02,0.02,,,,,40.0,0.07,0.4,16.0,1547,92.7,27450,95.4,94.7,76.5,5,72,1,0,59,16,0.59,0,0.0,35,18,30,15,44,33,11,54,2011,365,1060,917,41,15,3,3,0,1035,1731,5,5,1,9,3,1294,2,31,12,0,1,106,68,36,65.4,12900000.0,63.8,64.6,11779141.666666664
122,122,Jan Paul van Hecke,30,4,0,25,31,30,2688.0,1,1,8,1,1.3,1.5,53,216,5,0.03,0.03,0.04,0.05,,,,,31.3,0.17,0.06,14.1,1839,87.9,36200,93.1,93.0,65.4,13,207,16,4,216,48,1.61,3,0.1,40,26,38,18,32,19,13,23,2373,250,1006,1233,154,30,11,5,4,1571,6731,53,42,0,12,7,1664,5,23,23,0,11,120,78,48,61.9,42400000.0,72.3,78.6,36987833.3173642
123,123,Jannik Vestergaard,11,10,0,33,18,16,1391.0,0,0,5,0,0.1,0.1,3,32,2,0.0,0.0,0.01,0.01,,,,,66.7,0.13,0.0,9.7,870,90.7,14697,95.0,93.7,59.3,3,34,1,0,32,7,0.45,0,0.0,22,10,15,6,21,14,7,16,1092,196,572,497,28,10,4,4,0,672,1458,3,3,0,2,0,757,2,12,4,0,0,46,26,19,57.8,2000000.0,61.7,61.7,2850846.4285714286
124,124,Jarrad Branthwaite,14,7,0,23,28,26,2348.0,0,1,4,0,1.1,0.7,9,61,2,0.0,0.04,0.04,0.03,,,,,37.5,0.11,0.0,8.2,909,82.2,17777,90.3,90.5,55.3,3,80,2,0,61,13,0.5,2,0.08,36,20,27,7,30,22,8,23,1413,198,735,622,63,23,5,3,1,694,2253,9,13,2,8,3,826,2,10,17,1,5,84,53,38,58.2,32200000.000000004,77.2,85.6,39045087.44571991
125,125,Jarrod Bowen,14,18,5,29,31,31,2721.0,10,7,1,0,8.3,6.3,98,86,189,0.33,0.23,0.27,0.21,,,,,41.0,1.06,0.12,17.4,516,71.4,8598,83.0,76.6,55.6,49,37,43,7,86,104,3.44,13,0.43,37,24,37,20,21,3,18,16,1122,25,126,413,607,154,116,40,66,665,2312,98,43,56,68,70,735,189,19,49,10,101,120,12,46,20.7,48100000.0,73.5,75.3,36962696.66400762
126,126,Jean-Clair Todibo,16,18,0,26,24,17,1564.0,0,0,2,0,0.2,0.0,9,32,5,0.0,0.0,0.01,0.0,,,,,0.0,0.0,0.0,14.6,789,87.4,14104,93.5,94.0,45.7,2,40,2,0,32,6,0.35,0,0.0,41,24,34,8,24,12,12,21,1091,146,601,455,44,10,14,7,7,619,1363,9,5,0,13,9,735,5,11,5,0,3,65,23,24,48.9,36000000.0,73.4,77.6,35336606.94645393
127,127,Jean-Philippe Mateta,16,6,3,28,33,30,2442.0,14,2,2,0,12.1,3.1,37,46,114,0.52,0.07,0.45,0.11,,,,,41.7,0.92,0.2,15.6,269,65.0,3557,76.4,62.5,31.8,27,31,15,2,46,56,2.06,8,0.29,17,12,16,13,16,3,13,2,680,24,57,327,310,86,42,18,20,363,894,37,20,8,67,41,502,114,27,26,17,24,60,59,95,38.3,31700000.0,74.8,74.8,32197257.04873347
128,128,Jean-Ricner Bellegarde,16,19,9,27,32,19,1551.0,2,6,3,0,1.3,3.6,49,39,83,0.12,0.35,0.08,0.21,,,,,25.0,0.29,0.1,21.7,415,78.7,6398,89.2,80.9,56.4,26,27,17,8,39,53,3.08,10,0.58,37,22,19,6,19,3,16,10,756,24,139,339,295,45,60,14,31,464,1440,49,35,11,38,25,519,83,29,41,1,40,57,9,18,33.3,21300000.0,68.6,69.1,19741295.63492063
129,129,Jefferson Lerma,8,6,8,31,29,23,2030.0,0,1,8,0,1.0,1.5,11,86,24,0.0,0.04,0.04,0.06,,,,,29.2,0.31,0.0,19.4,775,75.5,13637,86.8,81.3,46.7,9,83,17,2,86,42,1.86,3,0.13,30,15,33,16,32,15,17,36,1269,95,403,653,223,26,12,6,4,596,1004,11,10,0,14,15,745,24,34,35,0,11,139,39,38,50.6,13600000.0,70.8,70.8,13055650.793650804
130,130,Jens Cajuste,40,9,7,26,27,23,1783.0,1,0,2,0,0.5,0.6,23,46,16,0.05,0.0,0.02,0.03,,,,,10.0,0.05,0.1,21.3,576,82.4,9518,88.9,85.8,50.0,11,45,5,1,46,30,1.51,1,0.05,39,19,47,28,24,9,15,25,911,59,263,477,185,11,46,25,15,421,1182,23,21,3,21,14,522,16,21,21,0,9,99,12,21,36.4,15500000.0,66.1,68.8,15491064.971139975
131,131,Jesper Lindstrøm,11,7,3,25,25,15,1239.0,0,1,2,0,2.1,2.0,30,25,81,0.0,0.07,0.15,0.15,,,,,35.7,0.73,0.0,21.0,297,69.4,4593,86.2,65.7,44.6,19,18,12,7,25,46,3.35,1,0.07,45,25,55,36,15,3,12,12,625,22,127,206,303,40,43,8,31,302,780,30,19,7,31,24,347,81,15,10,1,71,70,6,12,33.3,24400000.0,70.6,73.7,23854518.467643462
132,132,Joachim Andersen,11,8,0,29,26,26,2313.0,0,0,5,1,1.0,0.3,13,105,2,0.0,0.0,0.04,0.01,,,,,23.5,0.16,0.0,15.2,1485,82.8,32857,91.2,93.6,55.1,3,176,6,3,105,30,1.17,2,0.08,25,17,20,7,33,26,7,30,2089,293,1085,923,93,20,6,4,0,1211,2996,13,14,1,6,3,1446,2,15,17,0,10,107,63,36,63.6,31400000.0,78.6,78.6,33896191.74847527
133,133,Joe Aribo,31,16,8,29,30,20,1909.0,3,0,1,0,2.7,1.6,35,71,64,0.14,0.0,0.13,0.07,,,,,41.2,0.33,0.18,14.0,878,88.5,13041,91.3,90.9,68.9,16,50,4,1,71,37,1.75,1,0.05,44,30,34,17,24,9,15,20,1203,46,288,632,294,44,46,18,22,708,1923,35,28,12,25,16,879,64,20,28,1,10,110,25,21,54.3,6900000.0,63.3,64.1,9165789.682539683
134,134,Joe Willock,14,14,9,26,30,11,1026.0,0,2,3,0,1.6,1.9,36,38,82,0.0,0.18,0.14,0.17,,,,,17.6,0.26,0.0,15.4,281,82.4,4022,88.6,87.0,45.5,21,25,8,0,38,44,3.86,4,0.35,28,16,29,11,24,6,18,6,503,12,73,214,227,51,34,12,16,302,984,36,27,14,35,23,347,82,22,13,3,16,40,5,14,26.3,35800000.0,73.3,77.4,35301631.552497685
135,135,Joelinton,4,14,9,29,29,29,2393.0,4,3,10,0,3.9,2.5,40,116,110,0.15,0.11,0.15,0.09,,,,,28.9,0.49,0.09,14.0,863,82.7,12199,87.7,86.6,60.0,23,80,17,2,116,61,2.29,9,0.34,57,35,44,19,37,7,30,23,1360,67,256,670,448,83,46,15,28,729,1786,40,26,9,39,53,934,110,58,35,7,16,149,59,46,56.2,47500000.0,77.0,77.0,46511670.49062048
136,136,John McGinn,36,1,9,31,31,25,2052.0,1,4,7,0,2.9,3.4,31,96,72,0.04,0.18,0.13,0.15,,,,,19.2,0.22,0.04,16.2,658,82.5,11150,91.5,86.4,59.0,29,66,27,7,96,68,2.98,7,0.31,31,22,27,16,21,2,19,14,999,28,158,532,319,52,44,18,12,547,1194,31,16,6,33,25,700,72,43,67,3,54,94,16,11,59.3,22500000.0,77.0,77.0,24827775.089126557
137,137,Jordan Pickford,14,7,6,31,35,35,3150.0,0,1,7,0,0.0,0.4,0,0,0,0.0,0.03,0.0,0.01,1.23,71.1,28.6,100.0,30.4,0.0,,16.15,971,66.5,30852,99.3,98.4,46.3,2,68,8,0,0,12,0.34,2,0.06,1,0,2,1,0,0,0,1,1561,1009,1494,68,0,0,0,0,0,895,3246,0,0,0,2,0,788,0,0,7,0,0,31,4,1,80.0,22600000.0,75.3,75.3,21791060.12353659
138,138,Joshua Zirkzee,30,13,5,24,32,14,1402.0,3,1,2,0,4.8,1.5,14,44,69,0.19,0.06,0.31,0.1,,,,,39.3,0.71,0.11,13.1,292,71.2,3600,78.1,74.4,50.0,12,26,6,0,44,31,1.99,3,0.19,14,8,10,5,15,4,11,6,587,16,71,303,219,56,35,11,24,327,523,14,21,4,41,30,418,69,9,13,3,4,57,21,54,28.0,43700000.0,73.5,80.1,43458841.814078204
139,139,José Sá,35,19,6,32,27,27,2430.0,0,0,2,0,0.0,0.1,0,2,0,0.0,0.0,0.0,0.01,1.67,62.0,25.9,33.3,30.4,0.0,,16.15,544,63.8,14150,99.1,97.1,30.8,2,18,1,0,2,4,0.15,0,0.0,2,2,2,0,0,0,0,0,911,725,903,9,0,0,7,7,0,565,2205,0,0,0,1,0,450,0,4,8,0,0,31,9,1,90.0,8500000.0,69.9,69.9,9582915.476190472
140,140,João Gomes,4,19,7,24,33,33,2781.0,3,1,10,1,2.7,1.2,53,148,68,0.1,0.03,0.09,0.04,,,,,21.2,0.23,0.09,18.1,1262,84.9,18027,91.0,85.6,60.7,22,107,22,1,148,62,2.01,3,0.1,105,62,102,60,42,4,38,25,1843,59,404,1014,451,42,57,26,25,957,2593,53,50,6,38,49,1230,68,67,41,1,27,178,9,24,27.3,51100000.0,71.4,77.2,48478284.63203463
141,141,João Pedro,4,4,5,24,27,23,1948.0,10,6,4,1,8.9,5.0,66,78,128,0.46,0.28,0.41,0.23,,,,,35.7,0.69,0.12,17.2,482,72.9,6847,78.7,75.1,65.9,30,42,36,5,78,72,3.32,9,0.42,16,12,11,7,12,0,12,9,940,12,60,387,508,122,86,29,47,616,1821,66,39,30,72,38,732,128,26,46,2,22,59,41,43,48.8,61300000.0,71.0,78.5,55284319.64285714
142,142,Joël Veltman,30,4,0,33,20,19,1665.0,0,0,4,0,0.5,0.5,30,80,32,0.0,0.0,0.03,0.02,,,,,16.7,0.05,0.0,19.7,719,79.9,12118,89.9,80.4,63.3,6,62,8,5,80,22,1.19,1,0.05,42,28,51,21,22,7,15,18,1102,65,328,544,240,10,15,4,5,526,1448,30,22,3,19,7,599,32,27,42,0,23,68,21,18,53.8,5700000.0,74.8,74.8,20505803.174603175
143,143,Joško Gvardiol,9,12,0,23,34,33,3007.0,5,0,2,0,4.4,2.0,81,251,98,0.15,0.0,0.13,0.06,,,,,29.7,0.33,0.14,13.0,2321,90.9,37878,94.4,93.2,68.9,25,237,20,1,251,69,2.07,7,0.21,51,34,37,18,40,20,20,38,2903,142,725,1474,727,85,40,23,14,1886,5715,81,92,13,25,16,2132,98,13,23,2,19,132,48,33,59.3,78700000.0,79.4,91.0,70652763.61754188
144,144,Justin Kluivert,30,2,9,26,31,27,2161.0,12,6,8,0,10.0,4.8,74,95,153,0.5,0.25,0.42,0.2,,,,,41.5,0.92,0.11,20.4,533,74.3,8212,83.6,76.7,53.1,45,41,32,6,95,95,3.95,11,0.46,21,9,21,17,24,0,24,13,996,23,93,342,581,115,82,33,39,594,2161,74,52,34,50,26,653,153,42,29,5,80,73,7,25,21.9,44800000.0,79.3,81.7,53044970.785863765
145,145,Jørgen Strand Larsen,32,19,3,25,32,29,2463.0,13,2,4,0,10.0,2.4,16,28,106,0.48,0.07,0.37,0.09,,,,,60.4,1.17,0.25,11.4,272,63.1,3547,70.5,63.2,70.0,19,18,4,1,28,40,1.46,5,0.18,9,6,27,23,18,4,14,5,695,34,83,329,284,104,17,7,10,328,446,16,13,9,88,32,507,106,46,18,14,6,42,66,96,40.7,30800000.0,72.5,76.7,31632959.329799887
146,146,Kai Havertz,18,0,5,26,21,21,1839.0,9,3,4,0,9.4,2.4,34,59,110,0.44,0.15,0.46,0.12,,,,,40.4,1.03,0.17,11.7,401,78.5,4833,84.1,82.5,45.5,16,26,8,1,59,41,2.01,3,0.15,16,9,15,11,22,4,18,6,768,31,88,282,403,103,38,9,24,411,922,34,23,18,42,22,575,110,36,21,14,11,39,62,73,45.9,70500000.0,85.1,89.1,68077855.15873012
147,147,Kalvin Phillips,14,9,7,30,19,14,1237.0,0,0,6,1,0.4,0.2,4,51,4,0.0,0.0,0.03,0.02,,,,,18.2,0.15,0.0,24.3,436,79.1,8581,83.1,86.7,61.2,5,49,6,1,51,17,1.24,3,0.22,35,19,39,24,35,6,29,19,739,61,223,398,122,5,12,5,6,310,569,4,5,0,25,10,394,4,28,20,0,20,68,7,22,24.1,17200000.0,66.6,66.7,13244509.920634925
148,148,Kamaldeen Sulemana,19,16,5,23,23,14,1178.0,1,1,2,0,1.4,1.0,57,26,76,0.08,0.08,0.1,0.08,,,,,30.8,0.61,0.04,18.8,253,79.8,3667,89.4,82.4,44.4,10,6,13,7,26,28,2.14,3,0.23,16,14,13,5,9,0,9,6,509,13,65,190,272,50,92,33,51,331,1409,57,34,23,37,22,358,76,19,10,2,25,52,9,21,30.0,18500000.0,65.6,71.7,18829061.793761794
149,149,Kaoru Mitoma,26,4,5,28,33,28,2521.0,9,3,1,0,8.8,4.4,138,82,277,0.32,0.11,0.31,0.16,,,,,46.3,0.89,0.17,13.9,701,75.3,9130,86.9,70.5,44.0,35,34,32,8,82,83,2.96,8,0.29,43,26,46,28,46,3,43,13,1300,15,149,445,734,156,127,49,73,786,3663,138,76,55,49,22,911,277,39,23,5,72,92,24,27,47.1,50600000.0,80.2,80.2,47505070.66760037
150,150,Keane Lewis-Potter,14,3,1,24,35,33,2839.0,1,3,6,0,2.6,3.0,92,90,144,0.03,0.1,0.08,0.1,,,,,51.9,0.44,0.04,20.5,900,77.3,14851,89.6,79.4,48.8,23,61,41,14,90,67,2.12,8,0.25,44,26,44,18,24,9,15,19,1473,94,450,573,469,69,97,39,49,783,2971,92,63,34,43,19,877,144,16,29,4,71,136,26,34,43.3,27100000.0,71.8,77.4,30569669.575146664
151,151,Kenny Tete,30,8,0,30,19,18,1504.0,0,2,4,0,1.2,0.9,33,50,47,0.0,0.12,0.07,0.05,,,,,9.1,0.12,0.0,16.1,669,81.3,10740,91.7,80.3,61.8,7,60,9,6,50,32,1.91,3,0.18,50,34,34,14,22,6,16,29,1033,58,332,422,287,32,19,8,6,534,1229,33,20,7,16,10,596,47,28,14,1,29,65,18,12,60.0,14000000.0,70.7,71.6,13481719.841269843
152,152,Kepa Arrizabalaga,15,2,6,31,28,28,2520.0,0,0,3,0,0.1,0.0,0,2,0,0.0,0.0,0.0,0.0,1.25,75.4,25.0,0.0,0.0,0.0,0.0,9.7,671,71.9,18595,98.1,98.3,47.8,1,9,0,0,2,4,0.14,0,0.0,1,0,2,2,1,0,1,0,990,732,961,28,1,1,1,1,0,557,1588,0,0,0,0,0,435,0,2,5,0,0,52,7,1,87.5,12000000.0,72.2,75.0,21352486.70528818
153,153,Kevin De Bruyne,2,12,9,34,25,17,1538.0,4,7,2,0,3.8,7.6,47,135,137,0.23,0.41,0.22,0.44,,,,,28.6,0.82,0.08,21.7,799,76.0,13542,85.5,76.8,57.8,51,80,51,11,135,104,6.08,11,0.64,17,9,23,18,8,0,8,7,1210,10,73,408,739,71,32,12,16,711,1860,47,45,18,24,26,907,137,16,16,5,122,56,4,15,21.1,20100000.0,84.9,84.9,34230025.00000001
154,154,Kevin Schade,18,3,3,24,35,23,2069.0,10,2,3,0,7.7,3.4,56,32,146,0.43,0.09,0.33,0.15,,,,,46.0,1.0,0.2,11.6,290,58.4,4497,68.6,60.1,42.9,20,29,9,3,32,50,2.18,9,0.39,35,23,20,8,17,2,15,5,803,37,135,221,462,129,81,29,46,399,1275,56,26,35,54,34,497,146,20,33,13,36,78,80,65,55.2,29700000.0,71.1,76.5,31466499.179229397
155,155,Kobbie Mainoo,14,13,7,20,22,18,1506.0,0,0,5,0,0.6,1.6,21,59,42,0.0,0.0,0.03,0.09,,,,,15.4,0.12,0.0,20.8,663,86.4,8795,92.1,88.1,70.7,14,46,9,0,59,30,1.79,2,0.12,42,25,36,14,16,2,14,19,979,24,183,554,251,33,49,23,24,599,1124,21,14,10,34,34,695,42,27,19,2,5,79,19,27,41.3,66000000.0,68.8,87.2,50373352.0417307
156,156,Konstantinos Mavropanos,21,18,0,28,31,20,1947.0,0,0,6,1,1.5,0.5,16,60,2,0.0,0.0,0.07,0.02,,,,,27.8,0.23,0.0,14.8,1013,85.8,19986,90.9,92.3,58.4,5,60,4,1,60,16,0.74,0,0.0,32,22,25,11,23,17,6,38,1432,221,746,632,62,24,17,9,5,794,2124,16,10,1,12,0,936,2,17,14,3,2,68,56,24,70.0,19100000.0,68.8,69.2,17221985.89188589
157,157,Kristoffer Ajer,32,3,0,27,22,17,1405.0,0,0,5,0,0.8,1.2,27,54,42,0.0,0.0,0.05,0.08,,,,,37.5,0.19,0.0,10.2,488,78.0,7607,86.7,79.3,49.1,8,42,7,4,54,18,1.15,2,0.13,25,17,26,12,17,4,13,12,773,52,260,359,160,35,16,7,8,378,1172,27,11,2,15,12,481,42,12,6,1,14,42,27,22,55.1,21500000.0,71.9,72.1,21010834.73748474
158,158,Kyle Walker-Peters,14,16,0,28,33,33,2918.0,0,2,5,0,0.8,2.8,114,139,144,0.0,0.06,0.03,0.09,,,,,30.0,0.19,0.0,18.3,1493,88.2,22418,93.9,90.0,60.2,24,119,30,4,139,63,1.94,7,0.22,44,29,35,19,27,15,12,19,2022,151,615,884,540,59,92,38,39,1271,4373,114,72,24,32,39,1433,144,28,52,2,51,135,11,21,34.4,16600000.000000002,65.5,67.6,13677011.904761905
159,159,Leandro Trossard,2,0,3,31,35,26,2354.0,8,5,4,1,6.8,5.3,75,95,207,0.31,0.19,0.26,0.2,,,,,30.9,0.8,0.12,15.9,632,73.7,10332,85.2,76.3,51.2,37,41,43,9,95,80,3.06,6,0.23,26,17,31,22,31,0,31,9,1149,15,120,361,685,143,72,30,32,733,1942,75,49,29,57,43,857,207,25,43,6,79,93,6,22,21.4,31800000.0,79.5,79.5,43138949.20634921
160,160,Leif Davis,14,9,0,25,31,30,2563.0,1,2,5,1,0.9,4.3,48,55,117,0.04,0.07,0.03,0.15,,,,,14.3,0.07,0.07,20.4,854,71.5,14708,86.0,77.4,37.3,54,30,26,11,55,85,2.98,4,0.14,45,26,46,17,24,8,16,25,1459,115,517,484,477,36,37,13,17,659,1940,48,27,10,36,14,770,117,25,30,3,148,111,33,22,60.0,28200000.0,67.0,73.9,26531000.28860029
161,161,Leny Yoro,16,13,0,20,20,11,1114.0,0,0,5,0,0.7,0.1,19,52,4,0.0,0.0,0.06,0.01,,,,,20.0,0.08,0.0,8.6,667,92.1,10721,95.3,93.9,65.0,2,43,5,1,52,8,0.65,0,0.0,26,11,17,6,5,3,2,18,847,83,395,385,70,13,4,2,2,577,1642,19,13,1,3,4,614,4,9,2,1,1,45,16,15,51.6,71000000.0,70.5,88.1,61670429.621095754
162,162,Leon Bailey,25,1,5,28,23,14,1138.0,1,2,3,0,1.7,1.5,57,35,121,0.08,0.16,0.14,0.12,,,,,21.4,0.47,0.04,17.3,273,70.7,4275,81.4,81.1,47.4,16,16,20,2,35,38,3.01,4,0.32,6,4,10,8,6,0,6,3,539,18,76,155,318,69,57,22,24,344,1334,57,22,33,35,25,386,121,12,18,3,34,59,6,9,40.0,39200000.0,76.2,77.5,37178131.550049156
163,163,Lesley Ugochukwu,16,16,7,21,24,16,1525.0,1,1,6,0,0.9,1.0,29,49,20,0.06,0.06,0.05,0.06,,,,,10.0,0.06,0.1,17.0,570,84.9,8828,88.2,91.5,59.5,14,52,7,1,49,23,1.36,1,0.06,49,24,33,15,26,9,17,14,838,46,199,478,167,24,26,18,7,459,1195,29,15,6,12,13,570,20,28,14,0,6,62,20,17,54.1,27000000.0,62.1,74.4,28376656.65646614
164,164,Levi Colwill,14,5,0,22,32,32,2879.0,1,1,8,0,1.3,1.1,13,125,11,0.03,0.03,0.04,0.04,,,,,18.8,0.09,0.06,9.9,2209,89.6,40256,92.8,95.3,57.0,14,144,7,3,125,38,1.19,3,0.09,42,30,25,9,35,24,11,32,2726,342,1278,1330,129,35,10,6,4,1540,3887,13,12,1,13,8,1996,11,42,19,4,13,110,76,51,59.8,56600000.0,78.1,91.4,61544271.00231396
165,165,Lewis Cook,14,2,8,28,34,30,2816.0,1,3,8,0,0.9,4.1,33,153,49,0.03,0.1,0.03,0.13,,,,,28.6,0.13,0.07,23.4,1158,76.8,20150,84.8,85.1,45.5,48,150,26,11,153,87,2.78,5,0.16,80,42,66,30,30,11,19,40,1814,85,427,954,453,19,18,11,7,791,2113,33,29,4,29,17,904,49,46,10,3,127,182,40,34,54.1,19300000.0,72.7,73.6,27041640.764790755
166,166,Lewis Dunk,14,4,0,34,25,23,2083.0,0,0,5,0,0.8,0.5,20,142,3,0.0,0.0,0.03,0.02,,,,,25.0,0.13,0.0,12.1,1778,91.0,32940,96.4,95.2,62.7,6,157,6,0,142,19,0.82,3,0.13,17,10,19,8,28,18,10,13,2127,258,993,1031,113,21,1,0,1,1340,3341,20,19,0,9,3,1556,3,7,11,2,5,104,51,31,62.2,7400000.0,69.6,71.0,7638421.428571428
167,167,Lewis Hall,14,14,0,21,27,24,2189.0,0,4,3,0,0.4,4.3,41,123,80,0.0,0.16,0.02,0.18,,,,,9.1,0.04,0.0,18.8,1300,81.7,21999,91.3,85.1,51.5,34,114,17,5,123,63,2.59,6,0.25,58,41,74,34,33,18,15,18,1820,95,623,804,414,47,21,11,7,950,2358,41,22,13,33,20,1094,80,9,21,1,110,119,30,31,49.2,34500000.0,72.1,88.0,56284564.09821994
168,168,Liam Delap,14,9,3,22,34,31,2491.0,12,2,10,0,9.3,1.9,60,30,105,0.43,0.07,0.34,0.07,,,,,43.8,1.01,0.16,16.0,211,61.2,2913,70.7,63.5,39.1,21,16,6,0,30,62,2.24,7,0.25,10,7,14,12,8,0,8,2,659,29,78,277,326,89,84,39,36,436,1570,60,46,29,99,58,519,105,67,50,13,5,66,53,69,43.4,37000000.0,65.8,75.1,34492212.62338758
169,169,Lisandro Martínez,0,13,0,27,20,20,1751.0,2,1,7,0,1.3,1.1,23,117,7,0.1,0.05,0.07,0.06,,,,,35.3,0.31,0.12,15.9,1200,89.4,20292,94.2,93.0,55.2,9,91,18,2,117,26,1.34,2,0.1,40,24,36,15,22,8,14,32,1524,156,713,697,125,18,7,6,1,1017,3129,23,23,2,1,3,1069,7,22,7,0,9,81,16,13,55.2,49200000.0,73.0,74.5,47079994.444444455
170,170,Lucas Bergvall,40,17,7,19,27,11,1212.0,0,1,3,0,0.7,0.6,33,49,31,0.0,0.07,0.05,0.04,,,,,16.7,0.15,0.0,19.9,629,87.4,10567,91.9,89.8,74.6,11,53,7,3,49,22,1.63,4,0.3,39,19,32,15,18,8,10,24,885,36,188,478,232,22,45,21,20,531,1634,33,21,4,20,19,586,31,20,17,0,21,73,9,8,52.9,32600000.0,67.0,83.0,33958700.505050495
171,171,Lucas Digne,16,1,0,32,31,27,2261.0,0,4,4,0,0.8,4.4,23,55,140,0.0,0.16,0.03,0.17,,,,,23.1,0.12,0.0,22.7,932,75.2,15153,88.2,78.8,40.1,35,43,29,18,55,63,2.51,5,0.2,63,37,64,21,23,4,19,25,1485,93,520,449,526,28,19,9,9,672,1328,23,14,4,17,16,808,140,20,14,7,138,100,35,27,56.5,13600000.0,71.2,71.2,12706913.095238099
172,172,Lucas Paquetá,4,18,9,28,31,27,2336.0,4,0,9,0,5.2,3.1,22,145,82,0.15,0.0,0.2,0.12,,,,,7.9,0.12,0.05,19.6,1086,77.3,18019,83.6,79.6,64.2,36,125,43,4,145,79,3.04,6,0.23,66,37,53,26,28,4,24,17,1735,62,360,953,436,57,42,17,20,888,1295,22,32,2,53,50,1219,82,52,62,6,28,146,48,57,45.7,71200000.0,76.0,78.0,58716613.95467278
173,173,Luis Díaz,8,11,3,28,33,26,2225.0,12,5,2,0,10.0,4.9,103,103,269,0.49,0.2,0.4,0.2,,,,,41.5,1.09,0.18,13.5,697,84.3,11124,88.6,86.0,82.4,54,45,43,6,103,116,4.69,16,0.65,33,21,34,21,18,0,18,7,1109,15,78,382,668,155,111,51,48,733,2803,103,53,55,51,43,878,269,48,30,10,30,98,12,33,26.7,71000000.0,86.5,86.5,68596442.08074532
174,174,Luke Woolfenden,14,9,0,27,15,12,1187.0,0,0,2,0,0.0,0.0,7,15,0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,12.9,496,88.3,9196,96.7,93.8,52.7,0,31,0,0,15,2,0.15,0,0.0,9,6,5,3,21,14,7,19,694,147,407,278,9,3,0,0,0,368,1249,7,3,0,4,0,442,0,5,2,1,0,38,15,15,50.0,2000000.0,65.0,68.3,8583664.682539683
